indiv rio peso enfermo
1 Corumbel 82 0
2 Corumbel 76 0
3 Corumbel 92 0
4 Corumbel 91 1
5 Corumbel 22 0
6 Corumbel 64 0
7 Corumbel 49 0
8 Corumbel 52 0
9 Corumbel 99 0
10 Corumbel 34 0
11 Corumbel 2 0
12 Corumbel 8 0
13 Corumbel 44 0
14 Corumbel 31 0
15 Corumbel 85 0
16 Corumbel 63 0
17 Corumbel 39 0
18 Corumbel 39 0
19 Corumbel 78 0
20 Corumbel 44 0
21 Corumbel 73 1
22 Corumbel 24 0
23 Corumbel 6 0
24 Corumbel 32 0
25 Corumbel 72 0
26 Corumbel 82 0
27 Corumbel 16 0
28 Corumbel 91 0
29 Corumbel 3 0
30 Corumbel 41 0
31 Corumbel 38 0
32 Corumbel 4 0
33 Corumbel 37 0
34 Corumbel 44 0
35 Corumbel 44 0
36 Corumbel 84 0
37 Corumbel 17 0
38 Corumbel 75 0
39 Corumbel 12 0
40 Corumbel 84 0
41 Corumbel 91 1
42 Corumbel 97 0
43 Corumbel 13 0
44 Corumbel 51 0
45 Corumbel 76 0
46 Corumbel 67 0
47 Corumbel 35 0
48 Corumbel 99 0
49 Corumbel 83 0
50 Corumbel 97 0
51 Corumbel 29 0
52 Corumbel 57 0
53 Corumbel 47 0
54 Corumbel 59 0
55 Corumbel 17 0
56 Corumbel 85 0
57 Corumbel 78 0
58 Corumbel 72 0
59 Corumbel 89 0
60 Corumbel 21 0
61 Corumbel 13 0
62 Corumbel 39 0
63 Corumbel 73 0
64 Corumbel 88 0
65 Corumbel 39 0
66 Corumbel 70 0
67 Corumbel 25 0
68 Corumbel 5 0
69 Corumbel 39 0
70 Corumbel 38 0
71 Corumbel 51 0
72 Corumbel 98 0
73 Corumbel 32 0
74 Corumbel 57 0
75 Corumbel 73 0
76 Corumbel 36 0
77 Corumbel 28 1
78 Corumbel 15 0
79 Corumbel 77 0
80 Corumbel 13 0
81 Corumbel 81 0
82 Corumbel 20 0
83 Corumbel 8 0
84 Corumbel 83 0
85 Corumbel 86 0
86 Corumbel 6 0
87 Corumbel 38 0
88 Corumbel 88 0
89 Corumbel 31 0
90 Corumbel 77 0
91 Corumbel 40 0
92 Corumbel 68 0
93 Corumbel 8 0
94 Corumbel 98 0
95 Corumbel 97 1
