indiv rio peso enfermo
1 Corumbel 52 0
2 Corumbel 14 0
3 Corumbel 18 0
4 Corumbel 83 1
5 Corumbel 25 0
6 Corumbel 19 1
7 Corumbel 23 0
8 Corumbel 90 0
9 Corumbel 12 0
10 Corumbel 22 0
11 Corumbel 4 0
12 Corumbel 80 0
13 Corumbel 95 0
14 Corumbel 21 0
15 Corumbel 70 0
16 Corumbel 69 0
17 Corumbel 81 1
18 Corumbel 69 0
19 Corumbel 77 0
20 Corumbel 43 0
21 Corumbel 45 0
22 Corumbel 14 0
23 Corumbel 6 0
24 Corumbel 52 0
25 Corumbel 29 0
26 Corumbel 43 0
27 Corumbel 84 1
28 Corumbel 11 0
29 Corumbel 34 1
30 Corumbel 1 0
31 Corumbel 29 0
32 Corumbel 82 0
33 Corumbel 72 0
34 Corumbel 26 1
35 Corumbel 45 1
36 Corumbel 15 0
37 Corumbel 10 0
38 Corumbel 1 0
39 Corumbel 70 0
40 Corumbel 47 1
41 Corumbel 84 0
42 Corumbel 55 1
43 Corumbel 86 1
44 Corumbel 69 0
45 Corumbel 11 0
46 Corumbel 51 0
47 Corumbel 42 1
48 Corumbel 55 0
49 Corumbel 7 0
50 Corumbel 61 0
51 Corumbel 42 0
52 Corumbel 53 0
53 Corumbel 53 0
54 Corumbel 14 1
55 Corumbel 33 0
56 Corumbel 45 0
57 Corumbel 36 0
58 Corumbel 84 0
59 Corumbel 73 1
60 Corumbel 83 0
61 Corumbel 88 0
62 Corumbel 83 1
63 Corumbel 42 1
64 Corumbel 7 0
65 Corumbel 64 1
66 Corumbel 87 1
67 Corumbel 89 0
68 Corumbel 55 0
69 Corumbel 34 0
70 Corumbel 12 0
71 Corumbel 57 0
72 Corumbel 84 1
73 Corumbel 75 1
74 Corumbel 7 0
75 Corumbel 58 1
76 Corumbel 21 0
77 Corumbel 52 0
78 Corumbel 26 0
79 Corumbel 14 1
80 Corumbel 72 1
81 Corumbel 76 0
82 Corumbel 13 0
83 Corumbel 17 0
84 Corumbel 33 1
85 Corumbel 96 0
86 Corumbel 1 0
87 Corumbel 14 0
88 Corumbel 71 1
89 Corumbel 16 0
90 Corumbel 49 1
91 Corumbel 53 1
92 Corumbel 80 0
93 Corumbel 88 0
94 Corumbel 9 0
95 Corumbel 73 1
96 Corumbel 92 1
97 Corumbel 91 0
98 Corumbel 88 1
99 Corumbel 54 1
100 Corumbel 80 0
101 Corumbel 6 1
102 Corumbel 77 0
103 Corumbel 65 0
104 Corumbel 71 1
105 Corumbel 54 0
106 Corumbel 92 0
107 Corumbel 22 0
108 Corumbel 53 0
109 Corumbel 27 0
110 Corumbel 72 0
111 Corumbel 42 0
112 Corumbel 67 0
113 Corumbel 17 0
114 Corumbel 29 0
115 Corumbel 36 0
116 Corumbel 98 1
117 Corumbel 3 1
118 Corumbel 79 1
119 Corumbel 5 0
120 Corumbel 70 1
121 Corumbel 96 0
122 Corumbel 96 1
123 Corumbel 77 0
124 Corumbel 46 1
125 Corumbel 6 0
126 Corumbel 31 0
127 Corumbel 3 0
128 Corumbel 69 1
129 Corumbel 77 0
130 Corumbel 37 0
131 Corumbel 98 1
132 Corumbel 97 0
133 Corumbel 83 1
134 Corumbel 44 0
135 Corumbel 31 0
136 Corumbel 96 0
137 Corumbel 18 0
138 Corumbel 99 0
139 Corumbel 43 0
140 Corumbel 97 0
141 Corumbel 31 0
142 Corumbel 49 0
143 Corumbel 63 0
144 Corumbel 49 0
145 Corumbel 65 1
146 Corumbel 51 0
147 Corumbel 56 0
148 Corumbel 38 0
149 Corumbel 67 1
150 Corumbel 24 0
151 Corumbel 66 0
152 Corumbel 45 0
153 Corumbel 59 1
154 Corumbel 41 1
155 Corumbel 88 0
156 Corumbel 54 0
157 Corumbel 27 0
158 Corumbel 20 0
159 Corumbel 61 1
160 Corumbel 34 0
161 Corumbel 25 1
162 Murtigas 77 0
163 Murtigas 8 0
164 Murtigas 83 0
165 Murtigas 22 0
166 Murtigas 26 0
167 Murtigas 12 0
168 Murtigas 31 0
169 Murtigas 87 0
170 Murtigas 46 0
171 Murtigas 23 0
172 Murtigas 34 0
173 Murtigas 32 0
174 Murtigas 2 0
175 Murtigas 57 0
176 Murtigas 76 0
177 Murtigas 19 0
178 Murtigas 70 0
179 Murtigas 21 0
180 Murtigas 20 0
181 Murtigas 21 0
182 Murtigas 62 0
183 Murtigas 66 0
184 Murtigas 69 0
185 Murtigas 49 0
186 Murtigas 9 0
187 Murtigas 31 1
188 Murtigas 46 0
189 Murtigas 50 0
190 Murtigas 88 0
191 Murtigas 55 0
192 Murtigas 92 1
193 Murtigas 21 0
194 Murtigas 43 0
195 Murtigas 71 0
196 Murtigas 35 0
197 Murtigas 70 0
198 Murtigas 51 0
199 Murtigas 8 0
200 Murtigas 2 0
201 Murtigas 15 0
202 Murtigas 99 0
203 Murtigas 1 0
204 Murtigas 39 0
205 Murtigas 52 0
206 Murtigas 27 0
207 Murtigas 36 0
208 Murtigas 9 0
209 Murtigas 50 0
210 Murtigas 66 0
211 Murtigas 83 0
