indiv rio peso enfermo
1 Corumbel 38 0
2 Corumbel 17 0
3 Corumbel 3 0
4 Corumbel 74 0
5 Corumbel 75 0
6 Corumbel 69 0
7 Corumbel 48 0
8 Corumbel 5 0
9 Corumbel 86 0
10 Corumbel 67 0
11 Corumbel 66 0
12 Corumbel 29 0
13 Corumbel 57 0
14 Corumbel 63 0
15 Corumbel 98 0
16 Corumbel 22 0
17 Corumbel 59 0
18 Corumbel 13 0
19 Corumbel 91 0
20 Corumbel 51 0
21 Corumbel 22 0
22 Corumbel 15 0
23 Corumbel 53 0
24 Corumbel 76 0
25 Corumbel 48 0
26 Corumbel 17 0
27 Corumbel 32 0
28 Corumbel 23 0
29 Corumbel 15 0
30 Corumbel 58 0
31 Corumbel 17 0
32 Corumbel 67 0
33 Corumbel 14 0
34 Corumbel 92 0
35 Corumbel 93 0
36 Corumbel 45 0
37 Corumbel 40 0
38 Corumbel 6 0
39 Corumbel 75 0
40 Corumbel 43 0
41 Corumbel 13 0
42 Corumbel 88 0
43 Corumbel 35 0
44 Corumbel 6 0
45 Corumbel 68 1
46 Corumbel 59 0
47 Corumbel 32 0
48 Corumbel 4 0
49 Corumbel 43 0
50 Corumbel 30 0
51 Corumbel 25 0
52 Corumbel 60 0
53 Corumbel 4 0
54 Corumbel 88 0
55 Corumbel 65 0
56 Corumbel 47 1
57 Corumbel 99 0
58 Corumbel 60 0
59 Corumbel 58 0
60 Corumbel 78 0
61 Corumbel 17 0
62 Corumbel 88 1
63 Corumbel 12 0
64 Corumbel 18 0
65 Corumbel 61 0
66 Corumbel 64 0
67 Corumbel 53 0
68 Corumbel 55 0
69 Corumbel 18 0
70 Corumbel 29 0
71 Corumbel 34 0
72 Corumbel 53 0
73 Corumbel 57 0
74 Corumbel 53 0
75 Corumbel 50 0
76 Corumbel 13 0
77 Corumbel 1 0
78 Corumbel 31 0
79 Corumbel 45 0
80 Corumbel 68 0
81 Corumbel 40 0
82 Corumbel 52 0
83 Corumbel 35 0
84 Corumbel 58 0
85 Corumbel 51 0
86 Corumbel 39 0
87 Corumbel 79 1
88 Corumbel 73 0
89 Corumbel 57 0
90 Corumbel 55 0
91 Corumbel 95 0
92 Corumbel 54 1
93 Corumbel 84 0
94 Corumbel 93 0
95 Corumbel 37 0
96 Corumbel 88 0
97 Corumbel 85 0
98 Corumbel 83 0
99 Corumbel 10 1
100 Corumbel 88 0
101 Corumbel 7 0
102 Corumbel 78 0
103 Corumbel 38 0
104 Corumbel 46 0
105 Corumbel 87 1
106 Corumbel 6 0
107 Corumbel 90 0
108 Corumbel 61 0
109 Corumbel 41 0
110 Corumbel 59 0
111 Corumbel 68 0
112 Corumbel 15 0
113 Corumbel 22 0
114 Corumbel 54 0
115 Corumbel 50 0
116 Corumbel 25 0
117 Corumbel 62 0
118 Corumbel 21 0
119 Corumbel 11 1
120 Corumbel 41 0
121 Corumbel 72 0
122 Corumbel 4 0
123 Corumbel 64 0
124 Corumbel 64 0
125 Corumbel 87 0
126 Corumbel 20 0
127 Corumbel 87 0
128 Corumbel 26 0
129 Corumbel 20 0
130 Corumbel 46 0
131 Corumbel 44 0
132 Corumbel 48 0
133 Corumbel 80 0
134 Corumbel 34 0
135 Corumbel 40 0
136 Corumbel 13 0
137 Corumbel 14 0
138 Corumbel 74 0
139 Corumbel 12 0
140 Corumbel 79 1
141 Corumbel 42 0
142 Corumbel 37 0
143 Corumbel 3 0
144 Corumbel 14 1
145 Corumbel 42 0
146 Corumbel 48 1
147 Corumbel 13 0
148 Corumbel 13 0
149 Corumbel 89 0
150 Corumbel 30 0
151 Corumbel 17 0
152 Corumbel 10 0
153 Corumbel 33 0
154 Corumbel 41 1
155 Corumbel 56 0
156 Corumbel 6 0
157 Corumbel 78 0
158 Corumbel 10 0
159 Corumbel 82 0
160 Corumbel 14 0
161 Corumbel 23 0
162 Corumbel 2 0
163 Corumbel 35 0
164 Corumbel 17 0
165 Corumbel 89 0
166 Corumbel 84 0
167 Corumbel 70 0
168 Corumbel 22 0
169 Corumbel 10 1
170 Corumbel 59 0
171 Corumbel 52 0
172 Corumbel 51 0
173 Corumbel 6 0
174 Corumbel 59 0
175 Corumbel 71 0
176 Corumbel 76 0
177 Corumbel 6 0
178 Corumbel 85 0
179 Corumbel 14 0
180 Corumbel 64 0
181 Corumbel 62 1
182 Corumbel 79 0
183 Corumbel 30 0
184 Corumbel 43 0
185 Corumbel 91 0
186 Murtigas 30 0
187 Murtigas 55 0
188 Murtigas 40 0
189 Murtigas 62 0
190 Murtigas 89 0
191 Murtigas 20 0
192 Murtigas 96 0
193 Murtigas 99 1
194 Murtigas 63 0
195 Murtigas 71 0
196 Murtigas 63 1
197 Murtigas 61 0
198 Murtigas 25 0
199 Murtigas 12 0
200 Murtigas 38 0
201 Murtigas 98 0
202 Murtigas 42 0
203 Murtigas 28 0
204 Murtigas 65 0
205 Murtigas 13 0
206 Murtigas 72 0
207 Murtigas 91 0
208 Murtigas 64 0
209 Murtigas 81 1
210 Murtigas 95 0
211 Murtigas 29 0
212 Murtigas 71 0
213 Murtigas 81 0
214 Murtigas 8 0
215 Murtigas 97 0
216 Murtigas 59 0
217 Murtigas 79 1
218 Murtigas 1 0
219 Murtigas 11 0
220 Murtigas 67 0
221 Murtigas 36 0
222 Murtigas 42 0
223 Murtigas 71 0
224 Murtigas 34 0
225 Murtigas 6 0
226 Murtigas 24 0
227 Murtigas 73 0
228 Murtigas 93 1
229 Murtigas 39 0
230 Murtigas 39 0
231 Murtigas 32 0
232 Murtigas 73 0
233 Murtigas 90 0
234 Murtigas 47 0
235 Murtigas 88 0
236 Murtigas 7 0
237 Murtigas 83 0
238 Murtigas 50 0
239 Murtigas 28 0
240 Murtigas 43 0
241 Murtigas 20 0
242 Murtigas 21 0
243 Murtigas 49 0
244 Murtigas 62 0
245 Murtigas 45 0
246 Murtigas 56 0
247 Murtigas 65 0
248 Murtigas 68 0
249 Murtigas 30 0
250 Murtigas 52 0
251 Murtigas 42 0
252 Murtigas 48 0
253 Murtigas 46 0
254 Murtigas 79 0
255 Murtigas 15 0
256 Murtigas 64 0
257 Murtigas 12 1
258 Murtigas 60 0
259 Murtigas 24 0
260 Murtigas 85 0
261 Murtigas 44 1
262 Murtigas 21 0
263 Murtigas 87 0
264 Murtigas 50 0
265 Murtigas 50 0
266 Murtigas 85 0
267 Murtigas 51 1
268 Murtigas 64 0
269 Murtigas 24 0
270 Murtigas 14 0
271 Murtigas 94 0
272 Murtigas 94 0
273 Murtigas 30 0
274 Murtigas 96 0
275 Murtigas 98 0
276 Murtigas 95 0
277 Murtigas 22 0
278 Murtigas 48 0
279 Murtigas 69 1
280 Murtigas 23 0
281 Murtigas 75 1
282 Murtigas 16 0
283 Murtigas 29 0
284 Murtigas 21 0
285 Murtigas 69 0
286 Murtigas 39 0
287 Murtigas 93 1
288 Murtigas 16 0
289 Murtigas 24 0
290 Murtigas 49 0
291 Murtigas 86 0
292 Murtigas 27 0
293 Murtigas 48 0
294 Murtigas 19 0
295 Murtigas 17 0
296 Murtigas 91 0
297 Murtigas 93 0
298 Murtigas 53 0
299 Murtigas 22 0
300 Murtigas 54 0
301 Murtigas 44 0
302 Murtigas 9 0
303 Murtigas 59 0
304 Murtigas 68 0
305 Murtigas 48 0
306 Murtigas 79 0
307 Murtigas 15 0
308 Murtigas 73 0
309 Murtigas 94 0
310 Murtigas 94 0
311 Murtigas 95 0
312 Murtigas 16 0
313 Murtigas 57 0
314 Murtigas 10 0
315 Murtigas 83 0
316 Murtigas 16 0
317 Murtigas 78 1
318 Murtigas 40 0
319 Murtigas 24 0
320 Murtigas 28 0
321 Murtigas 79 0
322 Murtigas 55 0
323 Murtigas 55 0
324 Murtigas 35 0
325 Murtigas 35 0
326 Murtigas 72 0
327 Murtigas 77 0
328 Murtigas 13 0
329 Murtigas 45 0
330 Murtigas 80 0
331 Murtigas 72 0
332 Murtigas 81 1
333 Murtigas 31 0
334 Murtigas 8 0
335 Murtigas 5 0
336 Murtigas 72 0
337 Murtigas 45 0
338 Murtigas 21 0
339 Murtigas 33 0
340 Murtigas 51 0
341 Murtigas 99 0
342 Murtigas 47 0
343 Murtigas 8 0
344 Murtigas 82 0
345 Murtigas 27 0
346 Murtigas 70 0
347 Murtigas 22 0
348 Murtigas 82 0
349 Murtigas 25 0
350 Murtigas 34 0
351 Murtigas 22 0
352 Murtigas 43 0
353 Murtigas 14 0
354 Murtigas 35 0
355 Murtigas 79 0
356 Murtigas 67 0
357 Murtigas 16 0
358 Murtigas 71 0
359 Murtigas 57 0
360 Murtigas 5 0
361 Murtigas 65 0
362 Murtigas 44 0
363 Murtigas 63 0
364 Murtigas 92 0
365 Murtigas 68 1
366 Murtigas 7 0
367 Murtigas 53 0
368 Murtigas 76 0
369 Murtigas 94 0
370 Murtigas 70 0
371 Murtigas 40 0
372 Murtigas 36 0
373 Murtigas 83 0
374 Murtigas 66 0
375 Murtigas 13 0
376 Murtigas 50 0
377 Murtigas 50 0
378 Murtigas 78 0
379 Murtigas 39 0
380 Murtigas 49 0
381 Murtigas 73 0
382 Murtigas 20 0
383 Murtigas 89 0
384 Murtigas 38 0
385 Murtigas 80 0
386 Murtigas 64 1
387 Murtigas 34 0
388 Murtigas 44 0
389 Murtigas 42 0
390 Murtigas 84 1
391 Murtigas 34 0
392 Murtigas 62 0
393 Murtigas 32 0
394 Murtigas 42 0
395 Murtigas 25 0
396 Murtigas 93 0
397 Murtigas 17 0
398 Murtigas 68 0
399 Murtigas 3 0
400 Murtigas 8 0
401 Murtigas 40 0
402 Murtigas 11 0
403 Murtigas 38 0
404 Murtigas 49 1
