indiv rio peso enfermo
1 Corumbel 64 0
2 Corumbel 90 0
3 Corumbel 7 0
4 Corumbel 20 0
5 Corumbel 94 0
6 Corumbel 27 0
7 Corumbel 58 0
8 Corumbel 69 1
9 Corumbel 26 0
10 Corumbel 14 0
11 Corumbel 41 0
12 Corumbel 49 0
13 Corumbel 99 0
14 Corumbel 30 0
15 Corumbel 29 0
16 Corumbel 44 0
17 Corumbel 78 1
18 Corumbel 31 0
19 Corumbel 23 0
20 Corumbel 37 0
21 Corumbel 66 1
22 Corumbel 69 0
23 Corumbel 20 0
24 Corumbel 22 0
25 Corumbel 75 0
26 Corumbel 71 0
27 Corumbel 97 0
28 Corumbel 58 1
29 Corumbel 41 1
30 Corumbel 54 0
31 Corumbel 47 0
32 Corumbel 21 0
33 Corumbel 40 0
34 Corumbel 86 0
35 Corumbel 60 1
36 Corumbel 99 0
37 Corumbel 56 0
38 Corumbel 16 0
39 Corumbel 6 0
40 Corumbel 19 0
41 Corumbel 52 0
42 Corumbel 23 0
43 Corumbel 71 0
44 Corumbel 36 0
45 Corumbel 70 0
46 Corumbel 87 0
47 Corumbel 56 0
48 Corumbel 49 1
49 Corumbel 96 0
50 Corumbel 68 1
51 Corumbel 81 0
52 Corumbel 99 0
53 Corumbel 39 0
54 Corumbel 24 0
55 Corumbel 28 0
56 Corumbel 8 0
57 Corumbel 1 0
58 Corumbel 69 1
59 Corumbel 63 0
60 Corumbel 85 0
61 Corumbel 68 0
62 Corumbel 77 0
63 Corumbel 55 0
64 Corumbel 96 0
65 Corumbel 20 0
66 Corumbel 84 0
67 Corumbel 51 0
68 Corumbel 61 0
69 Corumbel 19 0
70 Corumbel 5 0
71 Corumbel 18 0
72 Corumbel 16 0
73 Corumbel 19 0
74 Corumbel 97 0
75 Corumbel 30 0
76 Corumbel 19 0
77 Corumbel 30 0
78 Corumbel 74 0
79 Corumbel 62 0
80 Corumbel 88 0
81 Corumbel 51 0
82 Corumbel 3 0
83 Corumbel 50 0
84 Corumbel 5 0
85 Corumbel 90 0
86 Corumbel 2 0
87 Corumbel 83 0
88 Corumbel 2 0
