indiv rio peso enfermo
1 Corumbel 33 0
2 Corumbel 69 0
3 Corumbel 48 0
4 Corumbel 89 1
5 Corumbel 33 0
6 Corumbel 74 1
7 Corumbel 4 0
8 Corumbel 70 0
9 Corumbel 80 0
10 Corumbel 42 0
11 Corumbel 98 1
12 Corumbel 17 0
13 Corumbel 79 0
14 Corumbel 63 0
15 Corumbel 72 0
16 Corumbel 24 0
17 Corumbel 62 0
18 Corumbel 99 0
19 Corumbel 68 0
20 Corumbel 94 0
21 Corumbel 61 0
22 Corumbel 54 0
23 Corumbel 11 0
24 Corumbel 97 0
25 Corumbel 41 0
26 Corumbel 85 0
27 Corumbel 95 0
28 Corumbel 37 0
29 Corumbel 38 1
30 Corumbel 80 1
31 Corumbel 84 0
32 Corumbel 23 0
33 Corumbel 79 1
34 Corumbel 85 0
35 Corumbel 7 0
36 Corumbel 41 0
37 Corumbel 83 0
38 Corumbel 4 0
39 Corumbel 74 1
40 Corumbel 57 0
41 Corumbel 71 1
42 Corumbel 9 0
43 Corumbel 62 0
44 Corumbel 43 0
45 Corumbel 10 0
46 Corumbel 94 1
47 Corumbel 75 0
48 Corumbel 10 0
49 Corumbel 42 0
50 Corumbel 23 0
51 Corumbel 47 0
52 Corumbel 69 0
53 Corumbel 66 0
54 Corumbel 8 0
55 Corumbel 59 0
56 Corumbel 45 0
57 Corumbel 95 0
58 Corumbel 20 0
59 Corumbel 61 0
60 Corumbel 78 1
61 Corumbel 92 1
62 Corumbel 70 0
63 Corumbel 14 0
64 Corumbel 91 0
65 Corumbel 67 0
66 Corumbel 27 1
67 Corumbel 81 0
68 Corumbel 41 0
69 Corumbel 59 1
70 Corumbel 77 1
71 Corumbel 51 0
72 Corumbel 6 0
73 Corumbel 40 0
74 Corumbel 65 0
75 Corumbel 22 0
76 Corumbel 15 0
77 Corumbel 51 0
78 Corumbel 29 0
79 Corumbel 86 1
80 Corumbel 40 0
81 Corumbel 76 0
82 Corumbel 25 0
83 Corumbel 44 0
84 Corumbel 25 0
85 Corumbel 87 0
86 Corumbel 83 0
87 Corumbel 10 0
88 Corumbel 25 0
89 Corumbel 91 0
90 Corumbel 8 0
91 Corumbel 32 0
92 Corumbel 95 0
93 Corumbel 93 0
94 Corumbel 49 0
95 Corumbel 71 0
96 Corumbel 88 0
97 Corumbel 90 1
98 Corumbel 77 0
99 Corumbel 27 0
100 Corumbel 80 0
101 Corumbel 61 0
102 Corumbel 15 0
103 Corumbel 16 0
104 Corumbel 8 0
105 Corumbel 96 1
106 Corumbel 48 0
107 Corumbel 6 0
108 Corumbel 5 0
109 Corumbel 40 0
110 Corumbel 32 0
111 Corumbel 31 0
112 Corumbel 94 0
113 Corumbel 47 0
114 Corumbel 29 0
115 Corumbel 9 1
116 Corumbel 99 0
117 Corumbel 2 0
118 Corumbel 99 1
119 Corumbel 55 0
120 Corumbel 13 0
121 Corumbel 46 0
122 Corumbel 42 0
123 Corumbel 22 1
124 Corumbel 50 0
125 Corumbel 46 0
126 Corumbel 21 0
127 Corumbel 79 0
128 Corumbel 45 0
129 Corumbel 31 0
130 Corumbel 98 0
131 Corumbel 79 0
132 Corumbel 97 1
133 Corumbel 93 1
134 Corumbel 63 0
135 Corumbel 54 0
136 Corumbel 46 0
137 Corumbel 75 0
138 Corumbel 37 0
139 Corumbel 62 0
140 Corumbel 55 0
141 Corumbel 84 1
142 Corumbel 86 0
143 Corumbel 37 0
144 Corumbel 50 0
145 Corumbel 36 0
146 Corumbel 37 0
147 Corumbel 5 0
148 Corumbel 88 0
149 Corumbel 74 1
150 Corumbel 65 0
151 Corumbel 30 0
152 Corumbel 17 0
153 Corumbel 29 0
154 Corumbel 96 1
155 Corumbel 89 0
156 Corumbel 37 0
157 Corumbel 53 0
158 Corumbel 89 0
159 Corumbel 33 0
160 Corumbel 77 0
161 Corumbel 59 0
162 Corumbel 83 0
163 Corumbel 54 0
164 Corumbel 98 0
165 Corumbel 40 0
166 Corumbel 89 0
167 Corumbel 72 1
168 Corumbel 14 0
169 Corumbel 29 0
170 Corumbel 71 0
171 Corumbel 73 0
172 Corumbel 13 0
173 Corumbel 96 0
174 Corumbel 69 0
175 Corumbel 88 1
176 Corumbel 79 0
177 Corumbel 71 0
178 Corumbel 62 0
179 Corumbel 83 0
180 Corumbel 39 1
181 Corumbel 35 0
182 Corumbel 71 0
183 Corumbel 78 0
184 Corumbel 7 0
185 Corumbel 55 0
186 Corumbel 19 0
187 Corumbel 15 0
188 Corumbel 62 0
189 Corumbel 27 0
190 Corumbel 37 0
191 Corumbel 76 1
192 Corumbel 1 0
193 Corumbel 57 0
194 Corumbel 59 0
195 Corumbel 13 0
196 Corumbel 11 0
197 Corumbel 76 0
198 Corumbel 73 0
199 Corumbel 78 1
200 Corumbel 23 0
201 Corumbel 80 0
202 Corumbel 34 0
203 Corumbel 25 0
204 Corumbel 58 0
205 Corumbel 32 0
206 Corumbel 8 0
207 Corumbel 94 1
208 Corumbel 25 0
209 Corumbel 4 0
210 Corumbel 92 0
211 Corumbel 32 0
212 Corumbel 48 0
213 Corumbel 37 0
214 Corumbel 68 1
215 Corumbel 90 0
216 Corumbel 12 0
217 Corumbel 57 0
218 Corumbel 73 1
219 Corumbel 26 0
220 Corumbel 11 0
221 Corumbel 76 0
222 Corumbel 2 0
223 Corumbel 36 0
224 Corumbel 30 0
225 Corumbel 62 0
226 Murtigas 14 0
227 Murtigas 89 0
228 Murtigas 14 0
229 Murtigas 67 0
230 Murtigas 56 0
231 Murtigas 30 0
232 Murtigas 43 0
233 Murtigas 10 0
234 Murtigas 38 0
235 Murtigas 66 0
236 Murtigas 93 1
237 Murtigas 32 0
238 Murtigas 74 0
239 Murtigas 29 0
240 Murtigas 72 0
241 Murtigas 77 0
242 Murtigas 28 0
243 Murtigas 7 0
244 Murtigas 2 0
245 Murtigas 26 0
246 Murtigas 56 0
247 Murtigas 82 0
248 Murtigas 32 0
249 Murtigas 73 0
250 Murtigas 74 1
251 Murtigas 72 0
252 Murtigas 53 0
253 Murtigas 96 0
254 Murtigas 63 0
255 Murtigas 46 0
256 Murtigas 77 0
257 Murtigas 80 0
258 Murtigas 39 0
259 Murtigas 79 0
260 Murtigas 2 0
261 Murtigas 43 0
262 Murtigas 19 0
263 Murtigas 7 0
264 Murtigas 38 0
265 Murtigas 57 1
266 Murtigas 10 0
267 Murtigas 16 0
268 Murtigas 88 0
269 Murtigas 2 0
270 Murtigas 37 0
271 Murtigas 84 1
272 Murtigas 81 0
273 Murtigas 70 0
274 Murtigas 69 0
275 Murtigas 32 0
276 Murtigas 26 0
277 Murtigas 66 0
278 Murtigas 17 0
279 Murtigas 47 0
280 Murtigas 42 0
281 Murtigas 18 0
282 Murtigas 95 1
283 Murtigas 88 1
284 Murtigas 76 0
285 Murtigas 61 0
286 Murtigas 78 1
287 Murtigas 5 0
288 Murtigas 51 0
289 Murtigas 77 0
290 Murtigas 94 1
291 Murtigas 11 0
