indiv rio peso enfermo
1 Corumbel 86 0
2 Corumbel 25 0
3 Corumbel 48 0
4 Corumbel 15 0
5 Corumbel 58 0
6 Corumbel 34 0
7 Corumbel 32 0
8 Corumbel 44 0
9 Corumbel 60 0
10 Corumbel 54 0
11 Corumbel 6 0
12 Corumbel 46 0
13 Corumbel 12 0
14 Corumbel 49 0
15 Corumbel 38 0
16 Corumbel 59 0
17 Corumbel 45 0
18 Corumbel 65 0
19 Corumbel 56 0
20 Corumbel 99 0
21 Corumbel 5 0
22 Corumbel 74 0
23 Corumbel 97 0
24 Corumbel 4 1
25 Corumbel 35 0
26 Corumbel 45 0
27 Corumbel 91 0
28 Corumbel 43 0
29 Corumbel 6 0
30 Corumbel 63 0
31 Corumbel 52 0
32 Corumbel 96 0
33 Corumbel 66 0
34 Corumbel 36 0
35 Corumbel 44 0
36 Corumbel 62 0
37 Corumbel 38 0
38 Corumbel 83 0
39 Corumbel 88 0
40 Corumbel 44 0
41 Corumbel 19 0
42 Corumbel 29 0
43 Corumbel 82 1
44 Corumbel 69 0
45 Corumbel 82 0
46 Corumbel 58 0
47 Corumbel 16 0
48 Corumbel 49 0
49 Corumbel 99 0
50 Corumbel 7 0
51 Corumbel 79 0
52 Corumbel 40 0
53 Corumbel 79 0
54 Corumbel 99 0
55 Corumbel 63 0
56 Corumbel 14 0
57 Corumbel 7 0
58 Corumbel 62 0
59 Corumbel 49 0
60 Corumbel 78 0
61 Corumbel 6 0
62 Corumbel 9 0
63 Corumbel 49 0
64 Corumbel 39 0
65 Corumbel 75 0
66 Corumbel 27 0
67 Corumbel 78 0
68 Corumbel 51 0
69 Corumbel 81 0
70 Corumbel 30 0
71 Corumbel 93 0
72 Corumbel 20 0
73 Corumbel 46 0
74 Corumbel 33 0
75 Corumbel 24 0
76 Corumbel 99 0
77 Corumbel 44 0
78 Corumbel 24 0
79 Corumbel 13 0
80 Corumbel 29 0
81 Corumbel 25 0
82 Corumbel 96 0
83 Corumbel 76 0
84 Corumbel 9 0
85 Corumbel 76 0
86 Corumbel 87 0
87 Corumbel 2 0
88 Corumbel 78 0
89 Corumbel 90 0
90 Corumbel 48 1
91 Corumbel 59 0
92 Corumbel 42 0
93 Corumbel 78 0
94 Corumbel 39 0
95 Corumbel 5 0
96 Corumbel 46 0
97 Corumbel 25 0
98 Corumbel 21 0
99 Corumbel 88 0
100 Corumbel 92 1
101 Corumbel 23 0
102 Corumbel 50 0
103 Corumbel 78 0
104 Corumbel 23 0
105 Corumbel 19 0
106 Corumbel 79 0
107 Corumbel 52 0
108 Corumbel 2 0
109 Corumbel 86 0
110 Corumbel 58 0
111 Corumbel 59 0
112 Corumbel 54 0
113 Corumbel 72 0
114 Corumbel 36 0
115 Corumbel 85 0
116 Corumbel 32 0
117 Corumbel 50 0
118 Corumbel 34 0
119 Corumbel 9 0
120 Corumbel 4 0
121 Corumbel 50 0
122 Corumbel 3 0
123 Corumbel 76 0
124 Corumbel 92 1
125 Corumbel 59 0
126 Corumbel 85 1
127 Corumbel 97 0
128 Corumbel 47 0
129 Corumbel 95 1
130 Corumbel 61 0
131 Corumbel 16 0
132 Corumbel 70 0
133 Corumbel 9 0
134 Corumbel 28 0
135 Corumbel 29 0
136 Corumbel 60 0
137 Corumbel 20 0
138 Corumbel 79 0
139 Corumbel 74 0
140 Corumbel 80 0
141 Corumbel 30 0
142 Corumbel 89 1
143 Corumbel 53 0
144 Corumbel 54 0
145 Corumbel 47 0
146 Corumbel 96 0
147 Corumbel 26 0
148 Corumbel 22 0
149 Corumbel 7 0
150 Corumbel 26 0
151 Corumbel 81 0
152 Murtigas 4 0
153 Murtigas 55 0
154 Murtigas 10 0
155 Murtigas 3 0
156 Murtigas 32 0
157 Murtigas 54 0
158 Murtigas 94 0
159 Murtigas 48 0
160 Murtigas 12 0
161 Murtigas 89 1
162 Murtigas 25 1
163 Murtigas 48 0
164 Murtigas 38 1
165 Murtigas 53 0
166 Murtigas 93 0
167 Murtigas 73 1
168 Murtigas 90 0
169 Murtigas 24 0
170 Murtigas 2 0
171 Murtigas 79 0
172 Murtigas 8 0
173 Murtigas 9 0
174 Murtigas 69 1
175 Murtigas 93 0
176 Murtigas 36 0
177 Murtigas 52 1
178 Murtigas 61 0
179 Murtigas 39 0
180 Murtigas 23 0
181 Murtigas 68 0
182 Murtigas 78 0
183 Murtigas 50 0
184 Murtigas 22 0
185 Murtigas 59 1
186 Murtigas 31 0
187 Murtigas 46 0
188 Murtigas 63 0
189 Murtigas 81 0
190 Murtigas 26 0
191 Murtigas 41 0
192 Murtigas 65 0
193 Murtigas 45 0
194 Murtigas 14 0
195 Murtigas 85 0
196 Murtigas 84 1
197 Murtigas 15 0
198 Murtigas 49 0
199 Murtigas 42 0
200 Murtigas 56 0
201 Murtigas 47 0
202 Murtigas 83 0
203 Murtigas 25 0
204 Murtigas 54 0
205 Murtigas 54 0
206 Murtigas 76 0
207 Murtigas 14 0
208 Murtigas 30 0
209 Murtigas 4 0
210 Murtigas 17 0
211 Murtigas 93 0
212 Murtigas 37 0
213 Murtigas 6 0
214 Murtigas 16 0
215 Murtigas 32 0
216 Murtigas 81 1
217 Murtigas 42 0
218 Murtigas 22 0
219 Murtigas 26 0
220 Murtigas 40 0
221 Murtigas 76 1
222 Murtigas 53 1
223 Murtigas 29 0
224 Murtigas 50 0
225 Murtigas 99 1
226 Murtigas 30 1
227 Murtigas 23 0
228 Murtigas 9 0
229 Murtigas 58 0
230 Murtigas 51 0
231 Murtigas 29 0
232 Murtigas 82 0
233 Murtigas 77 0
234 Murtigas 14 0
235 Murtigas 98 1
236 Murtigas 44 0
237 Murtigas 49 0
238 Murtigas 74 0
239 Murtigas 33 0
240 Murtigas 99 0
241 Murtigas 64 0
242 Murtigas 94 0
243 Murtigas 77 0
244 Murtigas 28 0
245 Murtigas 29 1
246 Murtigas 54 0
247 Murtigas 59 0
248 Murtigas 90 1
249 Murtigas 56 0
250 Murtigas 61 0
251 Murtigas 24 0
252 Murtigas 81 0
253 Murtigas 62 1
254 Murtigas 68 0
255 Murtigas 59 0
256 Murtigas 26 0
257 Murtigas 51 0
258 Murtigas 93 0
259 Murtigas 62 0
260 Murtigas 71 0
261 Murtigas 44 1
262 Murtigas 32 0
263 Murtigas 26 0
264 Murtigas 70 0
265 Murtigas 41 1
266 Murtigas 15 0
267 Murtigas 86 0
268 Murtigas 25 0
269 Murtigas 31 0
270 Murtigas 39 1
271 Murtigas 87 0
272 Murtigas 35 0
273 Murtigas 32 0
274 Murtigas 18 0
275 Murtigas 93 0
276 Murtigas 10 0
277 Murtigas 29 0
278 Murtigas 85 0
279 Murtigas 81 0
280 Murtigas 87 0
281 Murtigas 27 0
282 Murtigas 42 0
283 Murtigas 25 1
284 Murtigas 74 0
285 Murtigas 15 1
286 Murtigas 40 0
287 Murtigas 39 0
288 Murtigas 97 0
289 Murtigas 46 1
290 Murtigas 96 0
291 Murtigas 97 0
292 Murtigas 3 0
293 Murtigas 66 0
294 Murtigas 48 0
295 Murtigas 60 1
296 Murtigas 32 0
297 Murtigas 85 0
298 Murtigas 33 0
299 Murtigas 48 0
300 Murtigas 30 0
301 Murtigas 41 0
302 Murtigas 76 0
303 Murtigas 34 0
304 Murtigas 81 0
305 Murtigas 95 1
306 Murtigas 76 0
307 Murtigas 63 0
308 Murtigas 52 0
309 Murtigas 49 0
310 Murtigas 20 0
311 Murtigas 11 0
312 Murtigas 74 0
313 Murtigas 21 0
314 Murtigas 35 0
315 Murtigas 95 0
316 Murtigas 70 0
317 Murtigas 20 0
318 Murtigas 67 0
319 Murtigas 51 0
320 Murtigas 21 0
321 Murtigas 65 0
322 Murtigas 61 0
323 Murtigas 94 0
324 Murtigas 60 0
325 Murtigas 90 0
326 Murtigas 56 0
327 Murtigas 40 0
328 Murtigas 74 0
329 Murtigas 77 0
330 Murtigas 13 0
331 Murtigas 42 0
332 Murtigas 7 0
333 Murtigas 54 0
334 Murtigas 28 0
335 Murtigas 64 0
336 Murtigas 99 0
337 Murtigas 54 0
338 Murtigas 89 0
339 Murtigas 87 0
340 Murtigas 64 1
341 Murtigas 33 0
342 Murtigas 72 0
343 Murtigas 9 0
344 Murtigas 84 0
345 Murtigas 23 0
346 Murtigas 6 0
347 Murtigas 52 0
348 Murtigas 96 1
349 Murtigas 91 0
350 Murtigas 74 0
351 Murtigas 92 1
352 Murtigas 81 0
353 Murtigas 54 0
354 Murtigas 77 0
355 Murtigas 96 0
356 Murtigas 8 0
357 Murtigas 35 0
358 Murtigas 89 0
359 Murtigas 26 0
360 Murtigas 10 0
361 Murtigas 69 0
362 Murtigas 4 0
363 Murtigas 90 0
364 Murtigas 7 0
365 Murtigas 77 0
366 Murtigas 58 0
367 Murtigas 40 0
368 Murtigas 70 0
369 Murtigas 91 0
370 Murtigas 69 0
371 Murtigas 78 0
372 Murtigas 30 0
373 Murtigas 71 0
374 Murtigas 39 0
375 Murtigas 5 0
376 Murtigas 8 0
377 Murtigas 32 0
378 Murtigas 18 0
379 Murtigas 28 0
380 Murtigas 88 0
381 Murtigas 16 1
382 Murtigas 23 0
383 Murtigas 73 0
384 Murtigas 30 0
385 Murtigas 6 0
386 Murtigas 21 0
387 Murtigas 83 0
388 Murtigas 76 1
389 Murtigas 87 0
390 Murtigas 94 1
391 Murtigas 74 0
392 Murtigas 75 0
393 Murtigas 54 0
394 Murtigas 4 0
395 Murtigas 6 0
396 Murtigas 39 0
397 Murtigas 25 0
398 Murtigas 8 0
399 Murtigas 28 0
400 Murtigas 97 0
401 Murtigas 70 0
402 Murtigas 16 0
403 Murtigas 10 0
404 Murtigas 97 0
405 Murtigas 80 0
406 Murtigas 66 0
407 Murtigas 62 0
408 Murtigas 28 0
409 Murtigas 36 0
410 Murtigas 81 0
411 Murtigas 87 0
412 Murtigas 42 0
413 Murtigas 76 0
414 Murtigas 40 0
415 Murtigas 12 0
416 Murtigas 51 0
417 Murtigas 89 0
418 Murtigas 80 0
419 Murtigas 61 0
420 Murtigas 2 0
421 Murtigas 8 0
422 Murtigas 15 0
423 Murtigas 34 0
424 Murtigas 93 1
425 Murtigas 97 1
426 Murtigas 79 0
427 Murtigas 61 0
428 Murtigas 5 0
429 Murtigas 49 0
430 Murtigas 81 0
431 Murtigas 81 0
432 Murtigas 48 0
433 Murtigas 41 1
434 Murtigas 74 1
435 Murtigas 25 0
436 Murtigas 60 1
437 Murtigas 7 0
438 Oraque 26 0
439 Oraque 28 0
440 Oraque 52 0
441 Oraque 62 0
442 Oraque 60 0
443 Oraque 50 0
444 Oraque 40 0
445 Oraque 14 0
446 Oraque 21 0
447 Oraque 63 0
448 Oraque 8 0
449 Oraque 25 0
450 Oraque 93 0
451 Oraque 87 0
452 Oraque 37 0
453 Oraque 44 0
454 Oraque 89 1
455 Oraque 49 1
456 Oraque 9 1
457 Oraque 38 0
458 Oraque 31 0
459 Oraque 78 0
460 Oraque 77 0
461 Oraque 44 1
462 Oraque 59 0
463 Oraque 20 1
464 Oraque 62 0
465 Oraque 71 0
466 Oraque 58 0
467 Oraque 65 0
468 Oraque 80 0
469 Oraque 27 0
470 Oraque 94 0
471 Oraque 49 0
472 Oraque 82 0
473 Oraque 57 0
474 Oraque 45 0
475 Oraque 10 0
476 Oraque 39 0
477 Oraque 2 0
478 Oraque 69 0
479 Oraque 18 0
480 Oraque 40 0
481 Oraque 67 0
482 Oraque 78 0
483 Oraque 95 0
484 Oraque 72 1
485 Oraque 6 0
486 Oraque 31 0
487 Oraque 29 0
488 Oraque 66 0
489 Oraque 58 1
490 Oraque 33 0
491 Oraque 23 0
492 Oraque 94 0
493 Oraque 88 0
494 Oraque 18 0
495 Oraque 62 0
496 Oraque 85 0
497 Oraque 67 0
498 Oraque 14 0
499 Oraque 24 0
500 Oraque 51 0
501 Oraque 13 0
502 Oraque 79 0
503 Oraque 6 0
504 Oraque 67 0
505 Oraque 96 0
506 Oraque 87 0
507 Oraque 20 0
508 Oraque 14 0
509 Oraque 45 0
510 Oraque 84 0
511 Oraque 84 0
512 Oraque 19 0
513 Oraque 36 0
514 Oraque 92 0
515 Oraque 51 0
516 Oraque 70 1
517 Oraque 15 0
518 Oraque 92 0
519 Oraque 11 0
520 Oraque 76 0
521 Oraque 97 0
522 Oraque 86 0
523 Oraque 52 0
524 Oraque 91 0
525 Oraque 28 0
526 Oraque 62 0
527 Oraque 18 1
528 Oraque 84 0
529 Oraque 76 0
530 Oraque 29 0
531 Oraque 6 0
532 Oraque 81 0
533 Oraque 13 1
534 Oraque 85 0
535 Oraque 23 1
536 Oraque 8 1
537 Oraque 86 0
538 Oraque 32 0
539 Oraque 70 0
540 Oraque 62 1
541 Oraque 77 0
542 Oraque 86 1
543 Oraque 17 0
544 Oraque 36 0
545 Oraque 13 1
546 Oraque 60 0
547 Oraque 12 0
548 Oraque 51 1
549 Oraque 61 0
550 Oraque 60 0
551 Oraque 42 0
552 Oraque 76 1
553 Oraque 42 0
554 Oraque 19 0
555 Oraque 74 0
556 Oraque 46 0
557 Oraque 23 0
558 Oraque 82 0
559 Oraque 95 0
560 Oraque 47 0
561 Oraque 90 0
562 Oraque 23 0
563 Oraque 52 0
564 Oraque 49 1
565 Oraque 76 0
566 Oraque 3 1
567 Oraque 18 0
568 Oraque 25 0
569 Oraque 51 0
570 Oraque 73 0
571 Oraque 3 0
572 Oraque 89 0
573 Oraque 5 1
574 Oraque 30 0
575 Oraque 76 0
576 Oraque 31 0
577 Oraque 44 0
578 Oraque 86 0
579 Oraque 41 0
580 Oraque 86 0
581 Oraque 70 0
582 Oraque 79 0
583 Oraque 54 0
584 Oraque 24 0
585 Oraque 35 1
586 Oraque 60 1
587 Oraque 25 0
588 Oraque 8 0
589 Oraque 16 0
590 Oraque 20 0
591 Oraque 84 0
592 Oraque 83 0
593 Oraque 12 0
594 Oraque 66 0
595 Oraque 3 0
596 Oraque 98 1
597 Oraque 91 0
598 Oraque 18 0
599 Oraque 95 0
600 Oraque 54 0
601 Oraque 52 0
602 Oraque 95 1
603 Oraque 40 0
604 Oraque 80 0
605 Oraque 75 0
606 Oraque 14 0
607 Oraque 20 0
608 Oraque 36 0
609 Oraque 11 0
610 Oraque 84 0
611 Oraque 36 0
612 Oraque 76 0
613 Oraque 88 1
614 Oraque 22 0
615 Oraque 54 0
616 Oraque 40 0
617 Oraque 89 0
618 Oraque 3 0
619 Oraque 84 0
620 Oraque 29 0
621 Oraque 85 0
622 Oraque 53 1
623 Oraque 76 0
624 Oraque 23 0
625 Oraque 93 0
626 Oraque 60 0
627 Oraque 70 0
628 Oraque 39 0
629 Oraque 53 0
630 Oraque 70 0
631 Oraque 58 0
632 Oraque 72 0
633 Oraque 82 0
634 Oraque 88 0
635 Oraque 38 0
636 Oraque 11 0
637 Oraque 55 0
638 Oraque 73 0
639 Oraque 84 0
640 Oraque 97 0
641 Oraque 79 0
642 Oraque 81 0
643 Oraque 75 0
644 Oraque 7 0
645 Oraque 48 0
646 Oraque 26 0
647 Oraque 40 0
648 Oraque 28 0
649 Oraque 24 0
650 Oraque 90 1
651 Oraque 71 0
652 Oraque 42 0
653 Oraque 75 1
654 Oraque 82 0
655 Oraque 38 0
656 Oraque 54 0
657 Oraque 19 0
658 Oraque 81 0
659 Oraque 92 0
660 Oraque 31 0
661 Oraque 56 0
662 Oraque 72 0
663 Oraque 84 1
664 Oraque 31 0
665 Oraque 39 0
666 Oraque 26 0
667 Oraque 31 0
668 Oraque 7 0
669 Oraque 51 0
670 Oraque 98 0
671 Oraque 29 0
672 Oraque 56 0
673 Oraque 53 1
674 Oraque 49 0
675 Oraque 4 0
676 Oraque 13 0
677 Oraque 26 0
678 Oraque 80 0
679 Oraque 53 0
680 Oraque 90 0
681 Oraque 37 1
682 Oraque 70 0
683 Oraque 33 0
684 Oraque 41 0
685 Oraque 97 0
686 Oraque 46 0
687 Oraque 78 0
688 Oraque 74 0
689 Oraque 54 0
690 Oraque 45 0
691 Oraque 66 0
692 Oraque 35 0
693 Oraque 56 0
694 Oraque 43 0
695 Oraque 58 0
696 Oraque 26 0
697 Oraque 30 0
698 Oraque 87 0
699 Oraque 20 0
700 Oraque 77 1
701 Oraque 61 0
702 Oraque 47 0
703 Oraque 11 0
704 Oraque 25 1
705 Oraque 9 0
706 Oraque 44 0
707 Oraque 36 0
708 Oraque 61 0
709 Oraque 24 0
710 Oraque 72 0
711 Oraque 37 0
712 Oraque 37 0
713 Oraque 88 0
714 Oraque 26 0
715 Oraque 74 0
716 Oraque 15 0
717 Oraque 55 0
718 Oraque 97 1
719 Oraque 6 0
720 Oraque 28 0
721 Oraque 94 0
722 Oraque 31 0
723 Oraque 91 0
724 Oraque 99 1
725 Oraque 54 0
726 Oraque 16 0
727 Oraque 58 0
