indiv rio peso enfermo
1 Corumbel 77 0
2 Corumbel 90 0
3 Corumbel 87 0
4 Corumbel 43 0
5 Corumbel 28 0
6 Corumbel 23 0
7 Corumbel 60 0
8 Corumbel 93 0
9 Corumbel 30 0
10 Corumbel 66 0
11 Corumbel 24 1
12 Corumbel 55 0
13 Corumbel 8 0
14 Corumbel 54 0
15 Corumbel 34 0
16 Corumbel 95 0
17 Corumbel 15 0
18 Corumbel 80 0
19 Corumbel 17 0
20 Corumbel 93 0
21 Corumbel 59 0
22 Corumbel 45 0
23 Corumbel 34 0
24 Corumbel 40 0
25 Corumbel 22 0
26 Corumbel 28 0
27 Corumbel 71 0
28 Corumbel 87 0
29 Corumbel 89 1
30 Corumbel 28 0
31 Corumbel 88 0
32 Corumbel 82 1
33 Corumbel 36 0
34 Corumbel 71 0
35 Corumbel 55 0
36 Corumbel 78 0
37 Corumbel 92 1
38 Corumbel 32 0
39 Corumbel 69 0
40 Corumbel 21 1
41 Corumbel 25 0
42 Corumbel 44 0
43 Corumbel 15 0
44 Corumbel 91 0
45 Corumbel 31 0
46 Corumbel 45 0
47 Corumbel 8 0
48 Corumbel 31 0
49 Corumbel 62 0
50 Corumbel 63 0
51 Corumbel 34 0
52 Corumbel 54 1
53 Corumbel 18 0
54 Corumbel 8 0
55 Corumbel 32 1
56 Corumbel 37 0
57 Corumbel 27 0
58 Corumbel 3 0
59 Corumbel 82 0
60 Corumbel 41 0
61 Corumbel 94 0
62 Corumbel 90 1
63 Corumbel 61 0
64 Corumbel 46 0
65 Corumbel 80 1
66 Corumbel 37 1
67 Corumbel 88 0
68 Corumbel 33 0
69 Corumbel 73 0
70 Corumbel 51 0
71 Corumbel 19 0
72 Corumbel 74 0
73 Corumbel 56 1
74 Corumbel 3 0
75 Corumbel 42 0
76 Corumbel 39 0
77 Corumbel 75 0
78 Corumbel 92 0
79 Corumbel 65 0
80 Corumbel 10 0
81 Corumbel 31 0
82 Corumbel 60 1
83 Corumbel 7 0
84 Corumbel 33 0
85 Corumbel 57 0
86 Corumbel 86 0
87 Corumbel 52 0
88 Corumbel 51 0
89 Corumbel 97 0
90 Corumbel 96 1
91 Corumbel 62 0
92 Corumbel 1 0
93 Corumbel 8 0
94 Corumbel 23 0
95 Corumbel 95 1
96 Corumbel 18 0
97 Corumbel 44 0
98 Corumbel 56 0
99 Corumbel 49 0
100 Corumbel 77 0
101 Corumbel 97 0
102 Corumbel 86 0
103 Corumbel 55 0
104 Corumbel 43 0
105 Corumbel 23 0
106 Corumbel 78 0
107 Corumbel 43 0
108 Corumbel 65 0
109 Corumbel 86 0
110 Corumbel 83 0
111 Corumbel 3 0
112 Murtigas 92 0
113 Murtigas 70 1
114 Murtigas 94 1
115 Murtigas 71 0
116 Murtigas 37 0
117 Murtigas 16 0
118 Murtigas 1 0
119 Murtigas 66 0
120 Murtigas 38 0
121 Murtigas 57 0
122 Murtigas 8 0
123 Murtigas 16 0
124 Murtigas 83 0
125 Murtigas 53 0
126 Murtigas 13 0
127 Murtigas 3 0
128 Murtigas 79 0
129 Murtigas 60 0
130 Murtigas 46 0
131 Murtigas 94 0
132 Murtigas 59 1
133 Murtigas 47 0
134 Murtigas 70 0
135 Murtigas 50 0
136 Murtigas 59 0
137 Murtigas 48 0
138 Murtigas 38 0
139 Murtigas 87 1
140 Murtigas 18 0
141 Murtigas 57 0
142 Murtigas 31 0
143 Murtigas 43 0
144 Murtigas 49 0
145 Murtigas 78 0
146 Murtigas 96 0
147 Murtigas 45 0
148 Murtigas 3 0
149 Murtigas 44 0
150 Murtigas 97 0
151 Murtigas 59 0
152 Murtigas 92 0
153 Murtigas 35 0
154 Murtigas 59 0
155 Murtigas 60 0
156 Murtigas 50 0
157 Murtigas 94 0
158 Murtigas 39 1
159 Murtigas 81 1
160 Murtigas 31 1
161 Murtigas 10 0
162 Murtigas 32 1
163 Murtigas 15 0
164 Murtigas 45 0
165 Murtigas 33 0
166 Murtigas 39 0
167 Murtigas 45 0
168 Murtigas 10 0
169 Murtigas 74 0
170 Murtigas 72 0
171 Murtigas 60 0
172 Murtigas 34 0
173 Murtigas 97 0
174 Murtigas 83 1
175 Murtigas 35 0
176 Murtigas 28 0
177 Murtigas 45 0
178 Murtigas 82 1
179 Murtigas 78 1
180 Murtigas 9 0
181 Murtigas 71 0
182 Murtigas 69 0
183 Murtigas 96 1
184 Murtigas 27 0
185 Murtigas 22 0
186 Murtigas 23 0
187 Murtigas 61 0
188 Murtigas 86 0
189 Murtigas 13 0
190 Murtigas 44 0
191 Murtigas 59 0
192 Murtigas 67 1
193 Murtigas 43 0
194 Murtigas 60 0
195 Murtigas 55 0
196 Murtigas 63 0
197 Murtigas 19 0
198 Murtigas 90 0
199 Murtigas 61 1
200 Murtigas 46 0
201 Murtigas 67 0
202 Murtigas 80 1
203 Murtigas 37 0
204 Murtigas 76 0
205 Murtigas 96 0
206 Murtigas 35 1
207 Murtigas 70 0
208 Murtigas 37 0
209 Murtigas 90 0
210 Murtigas 52 0
211 Murtigas 75 0
212 Murtigas 9 0
213 Murtigas 74 0
214 Murtigas 84 0
215 Murtigas 95 0
216 Murtigas 82 0
217 Murtigas 52 1
218 Murtigas 26 0
219 Murtigas 98 0
220 Murtigas 80 0
221 Murtigas 45 1
222 Murtigas 46 0
223 Murtigas 47 0
224 Murtigas 13 0
225 Murtigas 24 0
226 Murtigas 59 0
227 Murtigas 10 0
228 Murtigas 48 0
229 Murtigas 62 0
230 Murtigas 38 0
231 Murtigas 15 0
232 Murtigas 49 1
233 Murtigas 79 0
234 Murtigas 3 0
235 Murtigas 66 0
236 Murtigas 2 0
237 Murtigas 60 0
238 Murtigas 11 0
239 Murtigas 13 0
240 Murtigas 38 0
241 Murtigas 56 0
242 Murtigas 78 1
243 Murtigas 33 0
244 Murtigas 85 0
